ts_day,num_accounts,rewards_hnt,date
1607904000,"4,180","159,933",12/14/2020
1607990400,"4,179","162,062",12/15/2020
1608076800,"4,182","167,204",12/16/2020
1608163200,"4,166","160,657",12/17/2020
1608249600,"4,175","145,255",12/18/2020
1608336000,"4,171","132,109",12/19/2020
1608422400,"4,175","133,641",12/20/2020
1608508800,"4,180","132,880",12/21/2020
1608595200,"4,186","133,722",12/22/2020
1608681600,"4,191","132,680",12/23/2020
1608768000,"4,198","128,727",12/24/2020
1608854400,"4,179","134,539",12/25/2020
1608940800,"4,170","130,132",12/26/2020
1609027200,"4,195","136,016",12/27/2020
1609113600,"4,207","142,843",12/28/2020
1609200000,"4,220","165,227",12/29/2020
1609286400,"4,207","153,495",12/30/2020
1609372800,"4,220","142,307",12/31/2020
1609459200,"4,223","165,009",1/1/2021
1609545600,"4,221","170,511",1/2/2021
1609632000,"4,227","153,930",1/3/2021
1609718400,"4,242","155,463",1/4/2021
1609804800,"4,249","178,372",1/5/2021
1609891200,"4,249","150,912",1/6/2021
1609977600,"4,256","160,222",1/7/2021
1610064000,"4,254","170,756",1/8/2021
1610150400,"4,248","157,122",1/9/2021
1610236800,"4,260","166,088",1/10/2021
1610323200,"4,278","167,819",1/11/2021
1610409600,"4,263","166,551",1/12/2021
1610496000,"4,285","173,821",1/13/2021
1610582400,"4,293","168,797",1/14/2021
1610668800,"4,320","175,435",1/15/2021
1610755200,"4,340","145,018",1/16/2021
1610841600,"4,372","167,539",1/17/2021
1610928000,"4,379","154,565",1/18/2021
1611014400,"4,399","157,440",1/19/2021
1611100800,"4,430","165,146",1/20/2021
1611187200,"4,467","166,314",1/21/2021
1611273600,"4,482","173,141",1/22/2021
1611360000,"4,521","171,509",1/23/2021
1611446400,"4,532","148,736",1/24/2021
1611532800,"4,555","135,065",1/25/2021
1611619200,"4,554","133,215",1/26/2021
1611705600,"4,574","130,259",1/27/2021
1611792000,"4,578","123,877",1/28/2021
1611878400,"4,596","143,778",1/29/2021
