,service_domain,quarter,num_nodes_final,total_rewards,total_rewards_dollar,total_rewards_dollar_fixed,total_relays,avg_stake,rewards_per_node_final,rewards_per_node_final_fixed,active
7,blokhub.org,20233,440.0,628646.415684,17993.200960407896,18859.39247052,2235718418.0,55812.314824715904,15.458076426467265,16.202227208350514,1.0
8,bunila.org,20233,1.0,119.695673,3.353230037594359,3.59087019,1375077.0,15000.0,3.353230037594359,3.59087019,1.0
9,bwtechnologies.app,20233,2.0,1930.179095,55.701370289718284,57.90537284999999,9052310.0,45000.0,9.283561714953047,9.650895474999999,1.0
10,bwtechnologies3.com,20233,5.0,8061.424566,231.12431514660045,241.84273697999998,30942047.0,60000.0,15.40828767644003,16.122849132,1.0
11,c0d3r.org,20233,4893.0,3263485.30321,93516.4290593053,97904.5590963,25812109176.0,26464.53093632712,6.482941355931043,6.787144478079723,1.0
12,chainflow.io,20233,1.0,323.220798,9.04781118834082,9.69662394,1388085.0,15000.0,9.04781118834082,9.69662394,1.0
13,chainpokt.com,20233,75.0,105801.511549,3033.4714365434124,3174.04534647,376411139.0,60000.0,13.24660015957822,13.860460028253275,1.0
14,chainstacklabs.com,20233,7.0,1662.380466,47.36446650972261,49.87141398,18372025.0,15000.0,3.157631100648174,3.324760932,1.0
15,cloudnodechain.com,20233,25.0,34370.787588,985.618808493231,1031.12362764,125696554.0,60000.0,12.96866853280567,13.567416153157895,1.0
16,co.in,20233,1.0,0.864567,0.024220524946735898,0.02593701,7157.0,15000.0,0.024220524946735898,0.02593701,1.0
17,com.mt,20233,8.0,3772.1233190000003,107.34489383714799,113.16369956999999,11411716.0,60000.0,5.649731254586737,5.955984187894736,1.0
18,cryptonode.tools,20233,410.0,485353.031623,14064.025161245005,14560.59094869,1747169695.0,56149.08755926179,18.194081709243214,18.836469532587323,1.0
19,cryptopath.me,20233,1.0,33.132625,0.9289811849280468,0.99397875,203326.0,15000.0,0.4644905924640234,0.496989375,1.0
20,dacminfrastructure.com,20233,7.0,127.082683,3.6407440407455876,3.8124804899999996,1501589.0,15000.0,0.26005314576754196,0.27232003499999996,1.0
21,dappnode.io,20233,8.0,1858.106028,53.141178799763324,55.74318084,7018829.0,37519.99333555481,3.79579848569738,3.981655774285714,1.0
22,detoo.info,20233,,38.415329,1.0987192361157163,1.15245987,518178.0,,0.36623974537190546,0.38415329,
23,donttrustverify.xyz,20233,2.0,96.516376,2.7017504815111226,2.89549128,1694399.0,15000.0,2.7017504815111226,2.89549128,1.0
24,dopenodes.com,20233,1.0,141.673844,4.045071227798185,4.25021532,1932592.0,15000.0,1.3483570759327284,1.4167384399999998,1.0
25,dubosecloud.com,20233,6.0,3143.707731,89.46688447453052,94.31123192999999,10501586.0,60000.0,4.970382470807251,5.239512885,1.0
26,easy2stake.com,20233,764.0,1507453.366141,43209.258414849115,45223.60098423,5388332158.0,59815.22872522119,19.009792527430317,19.89599691343159,1.0
27,epitech.nl,20233,661.0,265117.074009,7578.785311022888,7953.5122202699995,937182932.0,59999.018250348054,4.2458181014133825,4.455749143008403,1.0
28,fort.software,20233,10.0,18670.503122,535.5540692108356,560.11509366,66137936.0,60000.0,17.851802307027853,18.670503122,1.0
29,goodpokt.com,20233,141.0,200942.118645,5760.863000532708,6028.26355935,716100670.0,60000.0,13.397355815192343,14.01921757988372,1.0
30,grandcentralnode.com,20233,109.0,155932.237488,4469.519621222533,4677.967124639999,551871141.0,60000.0,13.462408497658231,14.090262423614456,1.0
31,gunray.xyz,20233,56.0,709.369694,19.889943315065103,21.28109082,7212638.0,15000.0,2.486242914383138,2.6601363525,1.0
32,hjhsing.cc,20233,1.0,69.700794,1.9851587452018995,2.0910238199999998,988275.0,15000.0,0.6617195817339665,0.6970079399999999,1.0
33,jorgevc.net,20233,1.0,6.980041999999999,0.20559108764464792,0.20940125999999998,129521.0,15000.0,0.10279554382232396,0.10470062999999999,1.0
34,lightspeedstake.io,20233,92.0,48442.297249,1387.4873631631842,1453.26891747,507002550.0,19886.954373603712,5.063822493296293,5.3039011586496345,1.0
35,liquify.com,20233,172.0,241659.44365,6925.133209209408,7249.7833095,863457525.0,60000.0,14.60998567343757,15.294901496835442,1.0
36,liquify.ltd,20233,941.0,1101727.769871,31584.34142401387,33051.83309613,5045093471.0,44692.693387037834,11.918619405288252,12.472389847596228,1.0
37,livaras.com,20233,1.0,3.577524,0.10022301254795336,0.10732572,5107.0,60000.0,0.10022301254795336,0.10732572,1.0
38,lunastations.online,20233,1.0,39.485102999999995,1.1187360404658708,1.1845530899999999,87036.0,60000.0,0.5593680202329354,0.5922765449999999,1.0
39,mind-heart-soul.org,20233,2.0,457.125673,13.064033874088201,13.71377019,6740346.0,15000.0,2.6128067748176402,2.742754038,1.0
40,node-river-001.com,20233,432.0,595543.947197,17073.590125098326,17866.31841591,2128727192.0,59784.17266187051,13.133530865460251,13.743321858392306,1.0
41,nodedaddy.com,20233,1.0,416.802144,11.676558007193206,12.50406432,605287.0,59351.0634800618,11.676558007193206,12.50406432,0.0
42,nodefleet.org,20233,1409.0,1876108.435378,53704.923169351474,56283.25306134,7422169758.0,54996.29958355101,13.548164270774842,14.198600671377397,1.0
43,nodeifi.io,20233,2.0,566.200806,15.861906302906508,16.986024179999998,1392185.0,59423.34276874465,7.930953151453254,8.493012089999999,0.0
